reference,id_product,name,description_short,description,picture_link,meta_description,id_shop_default,price_with_tax,id_tax_rules_group,active
16025,57-1105,"feine Schinkenwurst mit Pistazien (Aufschnitt, Salami, Schinken, Streichwurst Verpackungseinheit: 400 Gramm geschnitten)","Unsere Schinkenwurst wird mit von Meisterhand aus frischem Schweine- und Rindfleisch hergestellt. Als Einlage werden mindestens 60 % mageres Schinkenfleisch verwendet. Die besonders feinen Würzung mit Pfeffer, Muskat, Mazis, Paprika und Senf wird durch feine Pistatienstücke abgerundet. Schmeckt besonders auf einem frischem Mischbrot, aber auch auf einer frischen Semmel.","Schweinefleisch, Rindfleisch, Trinkwasser, Kochsalz, Gewürze, Konservierungsstoffe: Natriumnitrit E250, Stabilisator: Poly- und Diphosphate E 450 E452, Ascorbinsäure E300, Mononatriumglutamat E621 Farbstoff E120 Hülsenfrüchte: PISTATIEN, SELLERIE",http://www.alber-der-metzger.de/35-thickbox_default/schinkenwurst-mit-pistazien.jpg,,1,5.75,2,1
16022,57-1102,"feine Schinkenwurst mit Pistazien (Aufschnitt, Salami, Schinken, Streichwurst Verpackungseinheit: 200 Gramm geschnitten)","Unsere Schinkenwurst wird mit von Meisterhand aus frischem Schweine- und Rindfleisch hergestellt. Als Einlage werden mindestens 60 % mageres Schinkenfleisch verwendet. Die besonders feinen Würzung mit Pfeffer, Muskat, Mazis, Paprika und Senf wird durch feine Pistatienstücke abgerundet. Schmeckt besonders auf einem frischem Mischbrot, aber auch auf einer frischen Semmel.","Schweinefleisch, Rindfleisch, Trinkwasser, Kochsalz, Gewürze, Konservierungsstoffe: Natriumnitrit E250, Stabilisator: Poly- und Diphosphate E 450 E452, Ascorbinsäure E300, Mononatriumglutamat E621 Farbstoff E120 Hülsenfrüchte: PISTATIEN, SELLERIE",http://www.alber-der-metzger.de/35-thickbox_default/schinkenwurst-mit-pistazien.jpg,,1,2.89,2,1
16026,57-1106,"feine Schinkenwurst mit Pistazien (Aufschnitt, Salami, Schinken, Streichwurst Verpackungseinheit: 1/2 Stange a ca. 1,2 Kg)","Unsere Schinkenwurst wird mit von Meisterhand aus frischem Schweine- und Rindfleisch hergestellt. Als Einlage werden mindestens 60 % mageres Schinkenfleisch verwendet. Die besonders feinen Würzung mit Pfeffer, Muskat, Mazis, Paprika und Senf wird durch feine Pistatienstücke abgerundet. Schmeckt besonders auf einem frischem Mischbrot, aber auch auf einer frischen Semmel.","Schweinefleisch, Rindfleisch, Trinkwasser, Kochsalz, Gewürze, Konservierungsstoffe: Natriumnitrit E250, Stabilisator: Poly- und Diphosphate E 450 E452, Ascorbinsäure E300, Mononatriumglutamat E621 Farbstoff E120 Hülsenfrüchte: PISTATIEN, SELLERIE",http://www.alber-der-metzger.de/35-thickbox_default/schinkenwurst-mit-pistazien.jpg,,1,13.99,2,1
160304,58-1092,"Rustikale Jagdwurst (Aufschnitt, Salami, Schinken, Streichwurst Verpackungseinheit: 400 Gramm geschnitten)","Unsere feine Jagdwurst zeichnet sich durch eine Rustikale Würzung mit Röstzwiebeln, Petersilie, Pfeffer, Kardamon und Kümmel aus. Als Einlage werden 55 % feines Schinkenfleisch verwendet. Sie schmeckt am besten auf einem Frischen Schwarzbrot mit einer Scheibe Essiggurke.","Schweinefleisch, Rindfleisch, Trinkwasser, Kochsalz, Gewürze, Konservierungsstoffe: Natriumnitrit E250, Stabilisator: Poly- und Diphosphate E 450 E452, Ascorbinsäure E300, Mononatriumglutamat E621 Farbstoff E120 SELLERIE, GLUTEN",http://www.alber-der-metzger.de/36-thickbox_default/jagdwurst.jpg,,1,5.49,2,1
160305,58-1093,"Rustikale Jagdwurst (Aufschnitt, Salami, Schinken, Streichwurst Verpackungseinheit: 1/2 Stange a ca. 1,2 Kg)","Unsere feine Jagdwurst zeichnet sich durch eine Rustikale Würzung mit Röstzwiebeln, Petersilie, Pfeffer, Kardamon und Kümmel aus. Als Einlage werden 55 % feines Schinkenfleisch verwendet. Sie schmeckt am besten auf einem Frischen Schwarzbrot mit einer Scheibe Essiggurke.","Schweinefleisch, Rindfleisch, Trinkwasser, Kochsalz, Gewürze, Konservierungsstoffe: Natriumnitrit E250, Stabilisator: Poly- und Diphosphate E 450 E452, Ascorbinsäure E300, Mononatriumglutamat E621 Farbstoff E120 SELLERIE, GLUTEN",http://www.alber-der-metzger.de/36-thickbox_default/jagdwurst.jpg,,1,13.39,2,1
160302,58-1090,"Rustikale Jagdwurst (Aufschnitt, Salami, Schinken, Streichwurst Verpackungseinheit: 200 Gramm geschnitten)","Unsere feine Jagdwurst zeichnet sich durch eine Rustikale Würzung mit Röstzwiebeln, Petersilie, Pfeffer, Kardamon und Kümmel aus. Als Einlage werden 55 % feines Schinkenfleisch verwendet. Sie schmeckt am besten auf einem Frischen Schwarzbrot mit einer Scheibe Essiggurke.","Schweinefleisch, Rindfleisch, Trinkwasser, Kochsalz, Gewürze, Konservierungsstoffe: Natriumnitrit E250, Stabilisator: Poly- und Diphosphate E 450 E452, Ascorbinsäure E300, Mononatriumglutamat E621 Farbstoff E120 SELLERIE, GLUTEN",http://www.alber-der-metzger.de/36-thickbox_default/jagdwurst.jpg,,1,2.78,2,1
160301,58-1089,"Rustikale Jagdwurst (Aufschnitt, Salami, Schinken, Streichwurst Verpackungseinheit: 100 Gramm geschnitten)","Unsere feine Jagdwurst zeichnet sich durch eine Rustikale Würzung mit Röstzwiebeln, Petersilie, Pfeffer, Kardamon und Kümmel aus. Als Einlage werden 55 % feines Schinkenfleisch verwendet. Sie schmeckt am besten auf einem Frischen Schwarzbrot mit einer Scheibe Essiggurke.","Schweinefleisch, Rindfleisch, Trinkwasser, Kochsalz, Gewürze, Konservierungsstoffe: Natriumnitrit E250, Stabilisator: Poly- und Diphosphate E 450 E452, Ascorbinsäure E300, Mononatriumglutamat E621 Farbstoff E120 SELLERIE, GLUTEN",http://www.alber-der-metzger.de/36-thickbox_default/jagdwurst.jpg,,1,1.39,2,1
160303,58-1091,"Rustikale Jagdwurst (Aufschnitt, Salami, Schinken, Streichwurst Verpackungseinheit: 300 Gramm geschnitten)","Unsere feine Jagdwurst zeichnet sich durch eine Rustikale Würzung mit Röstzwiebeln, Petersilie, Pfeffer, Kardamon und Kümmel aus. Als Einlage werden 55 % feines Schinkenfleisch verwendet. Sie schmeckt am besten auf einem Frischen Schwarzbrot mit einer Scheibe Essiggurke.","Schweinefleisch, Rindfleisch, Trinkwasser, Kochsalz, Gewürze, Konservierungsstoffe: Natriumnitrit E250, Stabilisator: Poly- und Diphosphate E 450 E452, Ascorbinsäure E300, Mononatriumglutamat E621 Farbstoff E120 SELLERIE, GLUTEN",http://www.alber-der-metzger.de/36-thickbox_default/jagdwurst.jpg,,1,4.15,2,1
160404,59-1087,"Champignonwurst (Aufschnitt, Salami, Schinken, Streichwurst Verpackungseinheit: 400 Gramm geschnitten)",Unsere Champignonwurst wird aus frischem Schweine- und Rindfleisch von Meisterhand hergestellt. Als einlage verwenden wir ganze Champignonköpfe für eine optisch ansprechendes Schnittbild.,"Schweinefleisch, Rindfleisch, Trinkwasser, Kochsalz, Gewürze, Konservierungsstoffe: Natriumnitrit E250, Stabilisator: Poly- und Diphosphate E 450 E452, Ascorbinsäure E300, Mononatriumglutamat E621 Farbstoff E121; SELLERIE",http://www.alber-der-metzger.de/37-thickbox_default/champignonwurst.jpg,,1,5.39,2,1
160405,59-1088,"Champignonwurst (Aufschnitt, Salami, Schinken, Streichwurst Verpackungseinheit: 1/2 Stange a ca. 1,2 Kg)",Unsere Champignonwurst wird aus frischem Schweine- und Rindfleisch von Meisterhand hergestellt. Als einlage verwenden wir ganze Champignonköpfe für eine optisch ansprechendes Schnittbild.,"Schweinefleisch, Rindfleisch, Trinkwasser, Kochsalz, Gewürze, Konservierungsstoffe: Natriumnitrit E250, Stabilisator: Poly- und Diphosphate E 450 E452, Ascorbinsäure E300, Mononatriumglutamat E621 Farbstoff E121; SELLERIE",http://www.alber-der-metzger.de/37-thickbox_default/champignonwurst.jpg,,1,12.99,2,1
160402,59-1085,"Champignonwurst (Aufschnitt, Salami, Schinken, Streichwurst Verpackungseinheit: 200 Gramm geschnitten)",Unsere Champignonwurst wird aus frischem Schweine- und Rindfleisch von Meisterhand hergestellt. Als einlage verwenden wir ganze Champignonköpfe für eine optisch ansprechendes Schnittbild.,"Schweinefleisch, Rindfleisch, Trinkwasser, Kochsalz, Gewürze, Konservierungsstoffe: Natriumnitrit E250, Stabilisator: Poly- und Diphosphate E 450 E452, Ascorbinsäure E300, Mononatriumglutamat E621 Farbstoff E121; SELLERIE",http://www.alber-der-metzger.de/37-thickbox_default/champignonwurst.jpg,,1,2.75,2,1
160401,59-1084,"Champignonwurst (Aufschnitt, Salami, Schinken, Streichwurst Verpackungseinheit: 100 Gramm geschnitten)",Unsere Champignonwurst wird aus frischem Schweine- und Rindfleisch von Meisterhand hergestellt. Als einlage verwenden wir ganze Champignonköpfe für eine optisch ansprechendes Schnittbild.,"Schweinefleisch, Rindfleisch, Trinkwasser, Kochsalz, Gewürze, Konservierungsstoffe: Natriumnitrit E250, Stabilisator: Poly- und Diphosphate E 450 E452, Ascorbinsäure E300, Mononatriumglutamat E621 Farbstoff E121; SELLERIE",http://www.alber-der-metzger.de/37-thickbox_default/champignonwurst.jpg,,1,1.39,2,1
160403,59-1086,"Champignonwurst (Aufschnitt, Salami, Schinken, Streichwurst Verpackungseinheit: 300 Gramm geschnitten)",Unsere Champignonwurst wird aus frischem Schweine- und Rindfleisch von Meisterhand hergestellt. Als einlage verwenden wir ganze Champignonköpfe für eine optisch ansprechendes Schnittbild.,"Schweinefleisch, Rindfleisch, Trinkwasser, Kochsalz, Gewürze, Konservierungsstoffe: Natriumnitrit E250, Stabilisator: Poly- und Diphosphate E 450 E452, Ascorbinsäure E300, Mononatriumglutamat E621 Farbstoff E121; SELLERIE",http://www.alber-der-metzger.de/37-thickbox_default/champignonwurst.jpg,,1,4.09,2,1
16051,60-1107,"Gurkenwurst (Aufschnitt, Salami, Schinken, Streichwurst Verpackungseinheit: 100 Gramm geschnitten)",Unsere Gurkenwurst wird aus frischem Schweine- und Rindfleisch nach handwerklicher Tradition hergestellt. Ihr würziges Fleischaroma wird durch die saure frische der Gurken wunderbar abgerundet. Schmeckt besonders an warmen Tagen bei der Abendlichen Brotzeit.,"Schweinefleisch, Rindfleisch, Trinkwasser, Kochsalz, Gewürze, Konservierungsstoffe: Natriumnitrit E250, Stabilisator: Poly- und Diphosphate E 450 E452, Ascorbinsäure E300, Mononatriumglutamat E621 Farbstoff E122 SENF, SELLERIE",http://www.alber-der-metzger.de/38-thickbox_default/gurkenwurst.jpg,,1,1.29,2,1
16054,60-1110,"Gurkenwurst (Aufschnitt, Salami, Schinken, Streichwurst Verpackungseinheit: 300 Gramm geschnitten)",Unsere Gurkenwurst wird aus frischem Schweine- und Rindfleisch nach handwerklicher Tradition hergestellt. Ihr würziges Fleischaroma wird durch die saure frische der Gurken wunderbar abgerundet. Schmeckt besonders an warmen Tagen bei der Abendlichen Brotzeit.,"Schweinefleisch, Rindfleisch, Trinkwasser, Kochsalz, Gewürze, Konservierungsstoffe: Natriumnitrit E250, Stabilisator: Poly- und Diphosphate E 450 E452, Ascorbinsäure E300, Mononatriumglutamat E621 Farbstoff E122 SENF, SELLERIE",http://www.alber-der-metzger.de/38-thickbox_default/gurkenwurst.jpg,,1,3.75,2,1
16055,60-1111,"Gurkenwurst (Aufschnitt, Salami, Schinken, Streichwurst Verpackungseinheit: 400 Gramm geschnitten)",Unsere Gurkenwurst wird aus frischem Schweine- und Rindfleisch nach handwerklicher Tradition hergestellt. Ihr würziges Fleischaroma wird durch die saure frische der Gurken wunderbar abgerundet. Schmeckt besonders an warmen Tagen bei der Abendlichen Brotzeit.,"Schweinefleisch, Rindfleisch, Trinkwasser, Kochsalz, Gewürze, Konservierungsstoffe: Natriumnitrit E250, Stabilisator: Poly- und Diphosphate E 450 E452, Ascorbinsäure E300, Mononatriumglutamat E621 Farbstoff E122 SENF, SELLERIE",http://www.alber-der-metzger.de/38-thickbox_default/gurkenwurst.jpg,,1,5.05,2,1
16052,60-1108,"Gurkenwurst (Aufschnitt, Salami, Schinken, Streichwurst Verpackungseinheit: 200 Gramm geschnitten)",Unsere Gurkenwurst wird aus frischem Schweine- und Rindfleisch nach handwerklicher Tradition hergestellt. Ihr würziges Fleischaroma wird durch die saure frische der Gurken wunderbar abgerundet. Schmeckt besonders an warmen Tagen bei der Abendlichen Brotzeit.,"Schweinefleisch, Rindfleisch, Trinkwasser, Kochsalz, Gewürze, Konservierungsstoffe: Natriumnitrit E250, Stabilisator: Poly- und Diphosphate E 450 E452, Ascorbinsäure E300, Mononatriumglutamat E621 Farbstoff E122 SENF, SELLERIE",http://www.alber-der-metzger.de/38-thickbox_default/gurkenwurst.jpg,,1,2.55,2,1
16056,60-1112,"Gurkenwurst (Aufschnitt, Salami, Schinken, Streichwurst Verpackungseinheit: halbe Stange ca. 1,4 Kg)",Unsere Gurkenwurst wird aus frischem Schweine- und Rindfleisch nach handwerklicher Tradition hergestellt. Ihr würziges Fleischaroma wird durch die saure frische der Gurken wunderbar abgerundet. Schmeckt besonders an warmen Tagen bei der Abendlichen Brotzeit.,"Schweinefleisch, Rindfleisch, Trinkwasser, Kochsalz, Gewürze, Konservierungsstoffe: Natriumnitrit E250, Stabilisator: Poly- und Diphosphate E 450 E452, Ascorbinsäure E300, Mononatriumglutamat E621 Farbstoff E122 SENF, SELLERIE",http://www.alber-der-metzger.de/38-thickbox_default/gurkenwurst.jpg,,1,14.99,2,1
16053,60-1109,"Gurkenwurst (Aufschnitt, Salami, Schinken, Streichwurst Verpackungseinheit: 250 Gramm geschnitten)",Unsere Gurkenwurst wird aus frischem Schweine- und Rindfleisch nach handwerklicher Tradition hergestellt. Ihr würziges Fleischaroma wird durch die saure frische der Gurken wunderbar abgerundet. Schmeckt besonders an warmen Tagen bei der Abendlichen Brotzeit.,"Schweinefleisch, Rindfleisch, Trinkwasser, Kochsalz, Gewürze, Konservierungsstoffe: Natriumnitrit E250, Stabilisator: Poly- und Diphosphate E 450 E452, Ascorbinsäure E300, Mononatriumglutamat E621 Farbstoff E122 SENF, SELLERIE",http://www.alber-der-metzger.de/38-thickbox_default/gurkenwurst.jpg,,1,3.18,2,1
16061,61-1113,"Eierpastete (Aufschnitt, Salami, Schinken, Streichwurst Verpackungseinheit: 100 Gramm geschnitten)",Feines Pastetenbrät mit Paprika- und Pistatienstücken abgeschmeckt und mit frischem Ei abgerundet und in die typisch Eckige Form gebracht. Perfekt auf dem Frühstücksbrot.,"Schweinefleisch, Rindfleisch, Trinkwasser, Kochsalz, Gewürze, Konservierungsstoffe: Natriumnitrit E250, Stabilisator: Poly- und Diphosphate E 450 E452, Ascorbinsäure E300, Mononatriumglutamat E621 Farbstoff E123; PISTATIEN; SELLERIE",http://www.alber-der-metzger.de/39-thickbox_default/eierpastete.jpg,,1,1.30,2,1
16064,61-1116,"Eierpastete (Aufschnitt, Salami, Schinken, Streichwurst Verpackungseinheit: 250 Gramm geschnitten)",Feines Pastetenbrät mit Paprika- und Pistatienstücken abgeschmeckt und mit frischem Ei abgerundet und in die typisch Eckige Form gebracht. Perfekt auf dem Frühstücksbrot.,"Schweinefleisch, Rindfleisch, Trinkwasser, Kochsalz, Gewürze, Konservierungsstoffe: Natriumnitrit E250, Stabilisator: Poly- und Diphosphate E 450 E452, Ascorbinsäure E300, Mononatriumglutamat E621 Farbstoff E123; PISTATIEN; SELLERIE",http://www.alber-der-metzger.de/39-thickbox_default/eierpastete.jpg,,1,3.25,2,1
16065,61-1117,"Eierpastete (Aufschnitt, Salami, Schinken, Streichwurst Verpackungseinheit: 400 Gramm geschnitten)",Feines Pastetenbrät mit Paprika- und Pistatienstücken abgeschmeckt und mit frischem Ei abgerundet und in die typisch Eckige Form gebracht. Perfekt auf dem Frühstücksbrot.,"Schweinefleisch, Rindfleisch, Trinkwasser, Kochsalz, Gewürze, Konservierungsstoffe: Natriumnitrit E250, Stabilisator: Poly- und Diphosphate E 450 E452, Ascorbinsäure E300, Mononatriumglutamat E621 Farbstoff E123; PISTATIEN; SELLERIE",http://www.alber-der-metzger.de/39-thickbox_default/eierpastete.jpg,,1,5.09,2,1
16062,61-1114,"Eierpastete (Aufschnitt, Salami, Schinken, Streichwurst Verpackungseinheit: 200 Gramm geschnitten)",Feines Pastetenbrät mit Paprika- und Pistatienstücken abgeschmeckt und mit frischem Ei abgerundet und in die typisch Eckige Form gebracht. Perfekt auf dem Frühstücksbrot.,"Schweinefleisch, Rindfleisch, Trinkwasser, Kochsalz, Gewürze, Konservierungsstoffe: Natriumnitrit E250, Stabilisator: Poly- und Diphosphate E 450 E452, Ascorbinsäure E300, Mononatriumglutamat E621 Farbstoff E123; PISTATIEN; SELLERIE",http://www.alber-der-metzger.de/39-thickbox_default/eierpastete.jpg,,1,2.59,2,1
16066,61-1118,"Eierpastete (Aufschnitt, Salami, Schinken, Streichwurst Verpackungseinheit: halbe Stange ca. 1,4 Kg)",Feines Pastetenbrät mit Paprika- und Pistatienstücken abgeschmeckt und mit frischem Ei abgerundet und in die typisch Eckige Form gebracht. Perfekt auf dem Frühstücksbrot.,"Schweinefleisch, Rindfleisch, Trinkwasser, Kochsalz, Gewürze, Konservierungsstoffe: Natriumnitrit E250, Stabilisator: Poly- und Diphosphate E 450 E452, Ascorbinsäure E300, Mononatriumglutamat E621 Farbstoff E123; PISTATIEN; SELLERIE",http://www.alber-der-metzger.de/39-thickbox_default/eierpastete.jpg,,1,15.49,2,1
16063,61-1115,"Eierpastete (Aufschnitt, Salami, Schinken, Streichwurst Verpackungseinheit: 300 Gramm geschnitten)",Feines Pastetenbrät mit Paprika- und Pistatienstücken abgeschmeckt und mit frischem Ei abgerundet und in die typisch Eckige Form gebracht. Perfekt auf dem Frühstücksbrot.,"Schweinefleisch, Rindfleisch, Trinkwasser, Kochsalz, Gewürze, Konservierungsstoffe: Natriumnitrit E250, Stabilisator: Poly- und Diphosphate E 450 E452, Ascorbinsäure E300, Mononatriumglutamat E621 Farbstoff E123; PISTATIEN; SELLERIE",http://www.alber-der-metzger.de/39-thickbox_default/eierpastete.jpg,,1,3.89,2,1
16071,62-1119,"Paprikawurst (Aufschnitt, Salami, Schinken, Streichwurst Verpackungseinheit: 100 Gramm geschnitten)","Von unseren Meistern aus Schweine- und Rindfleisch hergestelltes und mit Pfeffer, Paprika, Muscat, Mazis und Piment abgeschmecktes Feinbrät. Dazu kommen 15 % frische rote und grüne Paprikastücke. Dünn aufgeschnitten ein echtes Schmankerl.","Schweinefleisch, Rindfleisch, Trinkwasser, Kochsalz, Gewürze, Konservierungsstoffe: Natriumnitrit E250, Stabilisator: Poly- und Diphosphate E 450 E452, Ascorbinsäure E300, Mononatriumglutamat E621 Farbstoff E124; SELLERIE",http://www.alber-der-metzger.de/40-thickbox_default/paprikawurst.jpg,,1,1.19,2,1
